AGE,WORKCLASS,EDUCATION,EDUCATIONNUM,MARITALSTATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,HOURSPERWEEK,ABOVE50K,INCOME
38, Self-emp-not-inc, HS-grad,9,Married, Craft-repair, Husband,White,Male,35,0,30716
37, Private, Bachelors,13,Married, Sales, Husband,White,Male,50,0,30734
46, Private, Assoc-acdm,12,Not Married, Tech-support, Not-in-family, Black,Female,36,0,30588
38, Federal-gov, Masters,14,Married, Prof-specialty, Husband,White,Male,40,0,48215
43, Self-emp-not-inc, HS-grad,9,Married, Craft-repair, Husband,White,Male,60,0,34245
27, Private, Assoc-voc,11,Married, Adm-clerical, Wife,White,Female,35,0,44178
20, Private, Some-college,10,Not Married, Sales, Own-child,White,Male,20,0,30601
49, Private, Some-college,10,Married, Craft-repair, Husband, Asian-Pac-Islander,Male,40,1,116631
61, Self-emp-inc, HS-grad,9,Married, Craft-repair, Husband,White,Male,40,0,30698
27, Private, Some-college,10,Not Married, Sales, Own-child,White,Female,40,0,30729
19, Private, Some-college,10,Not Married, Other-service, Own-child,White,Male,30,0,44625
45, Private, Assoc-voc,11,Not Married, Prof-specialty, Not-in-family,White,Female,40,1,84713
70, Private, Some-college,10,Not Married, Tech-support, Other-relative,White,Male,40,0,43428
31, Private, HS-grad,9,Not Married, Transport-moving, Unmarried, Black,Female,30,0,30613
22, Private, Some-college,10,Married, Other-service, Husband,White,Male,24,0,30570
36, Private, HS-grad,9,Married, Other-service, Unmarried,White,Female,24,0,30570
64, Private, 11th,7,Married, Craft-repair, Husband,White,Male,40,0,36153
43, ?, Some-college,10,Not Married, ?, Not-in-family,White,Female,40,0,30636
47, Local-gov, Some-college,10,Not Married, Adm-clerical, Unmarried,White,Female,38,0,30739
34, Private, HS-grad,9,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,43079
33, Private, Bachelors,13,Not Married, Exec-managerial, Other-relative, Asian-Pac-Islander,Female,40,0,30742
21, Private, HS-grad,9,Not Married, Craft-repair, Own-child,White,Male,35,0,30561
52, ?, HS-grad,9,Not Married, ?, Not-in-family,White,Male,45,1,112984
48, Private, HS-grad,9,Married, Craft-repair, Husband,White,Male,46,0,30693
23, Private, Bachelors,13,Not Married, Handlers-cleaners, Not-in-family,White,Male,40,0,30601
71, Self-emp-not-inc, Some-college,10,Not Married, Sales, Unmarried, Black,Male,2,0,30940
29, Private, HS-grad,9,Not Married, Craft-repair, Not-in-family,White,Male,60,0,30712
42, Private, Bachelors,13,Not Married, Other-service, Other-relative, Black,Male,50,0,30691
68, ?, 1st-4th,2,Not Married, ?, Not-in-family,White,Female,20,0,38748
25, Private, HS-grad,9,Not Married, Other-service, Unmarried,White,Female,40,0,30633
44, Self-emp-inc, Masters,14,Not Married, Exec-managerial, Unmarried, Asian-Pac-Islander,Female,40,0,30724
28, Private, HS-grad,9,Not Married, Exec-managerial, Not-in-family, Asian-Pac-Islander,Female,40,0,30638
45, Self-emp-not-inc, Masters,14,Married, Sales, Husband,White,Male,40,1,81633
36, Private, Some-college,10,Not Married, Other-service, Unmarried,White,Female,40,0,30622
39, Federal-gov, Assoc-acdm,12,Not Married, Exec-managerial, Not-in-family,White,Male,42,0,43935
46, State-gov, Masters,14,Married, Protective-serv, Unmarried,White,Male,40,0,33821
18, Private, 11th,7,Not Married, Handlers-cleaners, Own-child,White,Male,16,0,30608
66, Local-gov, Assoc-voc,11,Married, Prof-specialty, Not-in-family,White,Female,20,0,30653
27, Private, HS-grad,9,Not Married, Other-service, Not-in-family,White,Male,40,0,30569
28, State-gov, HS-grad,9,Married, Protective-serv, Husband,White,Male,40,0,30673
51, Private, Some-college,10,Married, Sales, Husband,White,Male,40,1,54952
27, Private, Bachelors,13,Not Married, Craft-repair, Not-in-family,White,Male,50,0,30741
28, State-gov, Bachelors,13,Married, Prof-specialty, Husband,White,Male,40,1,95231
27, Private, HS-grad,9,Married, Sales, Unmarried,White,Female,25,0,30603
21, Private, HS-grad,9,Not Married, Craft-repair, Own-child, Black,Male,40,0,30723
34, Private, HS-grad,9,Not Married, Handlers-cleaners, Not-in-family, Black,Male,40,0,30588
18, Private, HS-grad,9,Not Married, Other-service, Own-child,White,Male,12,0,35057
33, Private, Bachelors,13,Married, Prof-specialty, Husband,White,Male,65,0,30575
44, Local-gov, Some-college,10,Married, Exec-managerial, Husband, Black,Male,38,1,59626
43, Private, Some-college,10,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,30671
30, Private, Some-college,10,Not Married, Craft-repair, Not-in-family, Black,Male,45,0,30691
40, Private, 7th-8th,4,Married, Machine-op-inspct, Husband,White,Male,40,1,75711
37, Federal-gov, Some-college,10,Married, Adm-clerical, Husband,White,Male,42,1,117593
34, Private, HS-grad,9,Married, Adm-clerical, Husband, Black,Male,40,0,30692
41, Self-emp-not-inc, Bachelors,13,Not Married, Exec-managerial, Not-in-family,White,Female,40,0,30647
53, ?, Bachelors,13,Not Married, ?, Not-in-family,White,Female,50,0,30674
31, Private, Masters,14,Married, Prof-specialty, Wife,White,Female,50,0,30712
58, State-gov, Doctorate,16,Married, Prof-specialty, Husband,White,Male,1,1,125988
38, Private, Some-college,10,Not Married, Machine-op-inspct, Not-in-family, Black,Female,28,0,34836
24, Private, Some-college,10,Married, Machine-op-inspct, Husband,White,Male,40,0,39339
41, Local-gov, Bachelors,13,Married, Craft-repair, Husband, Black,Male,40,0,34189
47, Private, Some-college,10,Married, Tech-support, Husband,White,Male,45,0,39224
41, Federal-gov, Bachelors,13,Married, Tech-support, Husband,White,Male,24,0,30741
23, Private, 5th-6th,3,Married, Transport-moving, Other-relative,White,Male,40,0,30654
36, Private, Some-college,10,Not Married, Craft-repair, Not-in-family,White,Male,40,0,38020
40, Federal-gov, Masters,14,Not Married, Exec-managerial, Not-in-family,White,Female,55,1,115324
35, Private, Masters,14,Married, Prof-specialty, Other-relative,White,Male,40,1,107269
24, Self-emp-not-inc, HS-grad,9,Not Married, Sales, Not-in-family,White,Male,40,0,30593
26, Private, Masters,14,Not Married, Prof-specialty, Not-in-family,White,Female,40,0,30634
19, ?, HS-grad,9,Not Married, ?, Own-child,White,Male,40,0,30602
51, Private, Bachelors,13,Married, Exec-managerial, Husband,White,Male,50,1,60568
42, Local-gov, Some-college,10,Not Married, Prof-specialty, Not-in-family,White,Female,40,0,30711
37, State-gov, HS-grad,9,Not Married, Adm-clerical, Unmarried,White,Female,35,0,30699
18, Private, 11th,7,Not Married, Sales, Own-child,White,Female,40,0,30656
36, Private, Bachelors,13,Married, Other-service, Husband, Black,Male,36,1,107810
35, Private, HS-grad,9,Not Married, Craft-repair, Not-in-family,White,Male,60,0,30635
58, Self-emp-inc, HS-grad,9,Married, Sales, Wife,White,Female,35,0,40695
17, Private, 11th,7,Not Married, Sales, Own-child,White,Female,12,0,38768
44, Local-gov, HS-grad,9,Married, Transport-moving, Husband, Black,Male,40,0,30711
37, Private, HS-grad,9,Married, Craft-repair, Husband,White,Male,40,1,115536
35, Private, Some-college,10,Not Married, Sales, Not-in-family, Amer-Indian-Eskimo,Female,40,0,30589
60, Private, HS-grad,9,Married, Craft-repair, Husband, Asian-Pac-Islander,Male,40,0,32429
54, Self-emp-inc, 7th-8th,4,Married, Machine-op-inspct, Husband,White,Male,40,1,118797
37, Private, Bachelors,13,Not Married, Exec-managerial, Not-in-family, Black,Male,60,1,51575
50, Private, Assoc-acdm,12,Not Married, Sales, Not-in-family,White,Female,40,0,34128
38, Private, Bachelors,13,Married, Sales, Husband,White,Male,50,0,30573
45, Private, Bachelors,13,Married, Prof-specialty, Husband,White,Male,55,0,30631
25, Private, 10th,6,Not Married, Craft-repair, Not-in-family,White,Male,40,0,30667
31, Private, Some-college,10,Married, Handlers-cleaners, Husband,White,Male,40,0,30635
64, ?, 1st-4th,2,Not Married, ?, Not-in-family,White,Male,40,0,45318
90, Private, HS-grad,9,Not Married, Other-service, Not-in-family, Black,Male,40,0,40610
54, Private, HS-grad,9,Married, Adm-clerical, Husband, Black,Male,20,0,30601
53, Local-gov, Preschool,1,Not Married, Machine-op-inspct, Not-in-family,White,Female,35,0,30594
18, Private, HS-grad,9,Not Married, Sales, Own-child,White,Female,40,0,30622
60, ?, 10th,6,Not Married, ?, Not-in-family, Amer-Indian-Eskimo,Female,10,0,33369
66, Self-emp-not-inc, HS-grad,9,Married, Farming-fishing, Husband,White,Male,50,0,30631
75, Private, Assoc-voc,11,Married, Adm-clerical, Not-in-family,White,Female,20,0,30550
65, Private, HS-grad,9,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,30588
35, Private, 11th,7,Not Married, Transport-moving, Not-in-family, Black,Male,40,0,30684
41, Private, HS-grad,9,Not Married, Sales, Unmarried, Black,Female,38,0,30370
25, Private, Some-college,10,Not Married, Adm-clerical, Not-in-family,White,Male,42,0,30683
33, Private, Some-college,10,Not Married, Craft-repair, Other-relative, Other,Female,40,0,40055
28, Private, Prof-school,15,Not Married, Prof-specialty, Not-in-family,White,Male,55,1,86843
59, State-gov, HS-grad,9,Married, Other-service, Husband,White,Male,40,0,38766
40, State-gov, Some-college,10,Not Married, Adm-clerical, Not-in-family,White,Female,38,0,38316
41, Private, Bachelors,13,Married, Exec-managerial, Husband,White,Male,50,1,96020
38, Local-gov, Masters,14,Married, Exec-managerial, Husband,White,Male,70,1,130330
23, Private, HS-grad,9,Not Married, Transport-moving, Own-child,White,Male,40,0,41979
40, Private, Bachelors,13,Married, Prof-specialty, Husband,White,Male,40,1,64649
41, Self-emp-not-inc, HS-grad,9,Married, Other-service, Wife,White,Female,20,0,30664
24, State-gov, Assoc-acdm,12,Married, Protective-serv, Husband,White,Male,50,0,30622
20, ?, Some-college,10,Not Married, ?, Own-child,White,Male,20,0,30605
38, Private, Some-college,10,Not Married, Craft-repair, Not-in-family,White,Male,40,0,30694
56, Private, HS-grad,9,Married, Adm-clerical, Husband,White,Male,35,0,30565
58, Private, HS-grad,9,Married, Adm-clerical, Husband,White,Male,45,1,60697
32, Private, HS-grad,9,Not Married, Other-service, Not-in-family,White,Female,34,0,30617
40, Private, Assoc-acdm,12,Married, Tech-support, Husband,White,Male,60,1,71659
45, Private, HS-grad,9,Married, Adm-clerical, Husband,White,Male,40,0,30585
41, Private, Prof-school,15,Married, Prof-specialty, Wife,White,Female,40,1,59852
42, Private, Bachelors,13,Married, Adm-clerical, Wife, Black,Female,40,0,30679
59, Local-gov, 10th,6,Married, Other-service, Unmarried, Black,Female,30,0,30551
19, Local-gov, Some-college,10,Not Married, Adm-clerical, Own-child,White,Male,40,0,43485
58, Private, Some-college,10,Not Married, Transport-moving, Not-in-family,White,Male,20,0,30585
42, Self-emp-not-inc, HS-grad,9,Married, Farming-fishing, Husband, Asian-Pac-Islander,Male,40,0,30615
20, Private, HS-grad,9,Not Married, Other-service, Own-child,White,Female,40,0,30639
32, Private, HS-grad,9,Not Married, Other-service, Not-in-family,White,Female,30,0,30593
45, Private, Assoc-voc,11,Married, Exec-managerial, Not-in-family,White,Female,45,0,30647
50, Private, 7th-8th,4,Not Married, Craft-repair, Not-in-family,White,Male,40,0,30555
36, Private, Bachelors,13,Not Married, Prof-specialty, Own-child,White,Female,40,0,30631
45, Private, HS-grad,9,Married, Sales, Husband,White,Male,60,0,30618
17, Private, 11th,7,Not Married, Other-service, Own-child,White,Male,12,0,30736
59, Private, Some-college,10,Married, Sales, Husband,White,Male,40,0,44191
26, Private, 11th,7,Married, Craft-repair, Husband,White,Male,40,0,35077
37, Self-emp-inc, Some-college,10,Married, Exec-managerial, Husband, Asian-Pac-Islander,Male,75,1,79731
19, ?, Some-college,10,Not Married, ?, Own-child,White,Male,24,0,34537
64, Private, HS-grad,9,Married, Exec-managerial, Husband,White,Male,40,1,75462
33, Private, Bachelors,13,Not Married, Prof-specialty, Not-in-family,White,Female,45,0,30590
33, Private, HS-grad,9,Married, Craft-repair, Wife,White,Female,40,1,126593
61, Private, HS-grad,9,Married, Exec-managerial, Husband,White,Male,40,1,110617
17, Private, 9th,5,Not Married, Other-service, Own-child,White,Male,24,0,30722
50, Self-emp-not-inc, Masters,14,Married, Farming-fishing, Husband,White,Male,98,0,30551
27, Local-gov, Masters,14,Not Married, Prof-specialty, Own-child,White,Male,35,0,30639
30, Private, HS-grad,9,Not Married, Prof-specialty, Own-child,White,Female,40,0,30696
43, Private, HS-grad,9,Married, Handlers-cleaners, Husband, Black,Male,40,0,30554
44, Private, Some-college,10,Married, Craft-repair, Husband,White,Male,40,1,97145
35, Private, Some-college,10,Not Married, Exec-managerial, Not-in-family,White,Female,40,0,30654
25, Private, Some-college,10,Not Married, Tech-support, Own-child,White,Female,40,0,30748
24, Private, Some-college,10,Married, Machine-op-inspct, Wife,White,Female,48,1,129621
22, Private, Bachelors,13,Not Married, Prof-specialty, Not-in-family,White,Female,15,0,30556
42, Local-gov, Some-college,10,Married, Craft-repair, Husband,White,Male,40,1,128561
34, Private, Assoc-acdm,12,Not Married, Sales, Unmarried, Black,Female,45,0,30699
60, Private, Bachelors,13,Not Married, Prof-specialty, Not-in-family,White,Female,42,0,30589
21, Private, HS-grad,9,Not Married, Handlers-cleaners, Own-child,White,Male,40,0,37710
57, Federal-gov, Masters,14,Married, Sales, Husband,White,Male,40,1,950554
41, Private, Prof-school,15,Married, Prof-specialty, Husband,White,Male,60,1,111564
50, Private, Some-college,10,Not Married, Other-service, Not-in-family,White,Male,45,0,30601
25, Private, Bachelors,13,Not Married, Exec-managerial, Not-in-family,White,Female,40,0,43492
50, Private, 7th-8th,4,Married, Craft-repair, Husband,White,Male,40,0,30585
36, Private, Bachelors,13,Married, Prof-specialty, Husband,White,Male,45,0,30695
31, Private, HS-grad,9,Not Married, Prof-specialty, Not-in-family,White,Female,40,0,37660
29, Local-gov, Bachelors,13,Not Married, Protective-serv, Not-in-family,White,Male,56,0,43688
21, Private, Some-college,10,Not Married, Sales, Own-child,White,Male,45,0,30584
27, Private, Bachelors,13,Not Married, Tech-support, Unmarried, Black,Female,40,0,39138
65, Private, HS-grad,9,Married, Transport-moving, Husband,White,Male,16,0,38662
37, Self-emp-inc, Bachelors,13,Not Married, Sales, Not-in-family,White,Female,60,0,30632
39, ?, Masters,14,Married, ?, Wife, Asian-Pac-Islander,Female,40,0,41994
24, Private, HS-grad,9,Not Married, Craft-repair, Own-child,White,Male,40,0,30550
38, Private, HS-grad,9,Not Married, Sales, Not-in-family,White,Male,80,0,44453
48, Private, Bachelors,13,Married, Adm-clerical, Husband,White,Male,40,1,95727
21, Private, Some-college,10,Not Married, Other-service, Not-in-family, Asian-Pac-Islander,Female,25,0,30703
31, Private, HS-grad,9,Married, Transport-moving, Husband,White,Male,45,1,51033
55, Private, HS-grad,9,Married, Sales, Husband,White,Male,40,1,50727
24, Private, Some-college,10,Married, Adm-clerical, Wife, Asian-Pac-Islander,Female,40,0,30642
43, Private, HS-grad,9,Not Married, Adm-clerical, Not-in-family,White,Female,40,0,37195
26, Private, Assoc-acdm,12,Not Married, Tech-support, Not-in-family,White,Male,45,0,30610
46, Private, Assoc-acdm,12,Not Married, Prof-specialty, Not-in-family,White,Female,33,0,34519
35, Private, Assoc-acdm,12,Married, Adm-clerical, Husband,White,Male,40,1,70098
41, Self-emp-inc, Some-college,10,Married, Farming-fishing, Husband,White,Male,54,1,64638
26, Private, Bachelors,13,Not Married, Sales, Not-in-family,White,Male,40,0,30663
34, Private, Masters,14,Married, Exec-managerial, Husband, Asian-Pac-Islander,Male,35,1,79165
19, ?, Some-college,10,Not Married, ?, Own-child, Black,Female,25,0,30619
36, Self-emp-not-inc, Bachelors,13,Not Married, Prof-specialty, Not-in-family, Black,Female,40,1,84832
22, Private, Some-college,10,Not Married, Sales, Own-child,White,Male,15,0,30631
24, Private, Some-college,10,Not Married, Machine-op-inspct, Not-in-family,White,Male,40,0,44785
77, Self-emp-not-inc, Some-college,10,Married, Sales, Husband,White,Male,40,0,30718
22, Private, 5th-6th,3,Married, Machine-op-inspct, Other-relative,White,Female,40,0,30592
29, Private, Some-college,10,Not Married, Tech-support, Not-in-family,White,Female,40,0,44352
62, Private, HS-grad,9,Married, Other-service, Not-in-family,White,Female,24,0,33539
39, Self-emp-not-inc, HS-grad,9,Married, Exec-managerial, Husband,White,Male,40,0,30601
43, Private, Some-college,10,Married, Craft-repair, Husband,White,Male,50,0,30654
35, Private, HS-grad,9,Not Married, Transport-moving, Not-in-family,White,Male,45,0,38767
29, Private, 11th,7,Not Married, Exec-managerial, Not-in-family,White,Female,40,0,30742
